,Lineups,TEAM,MIN,GP,OffRtg,DefRtg,NetRtg,g_cls_1,g_cls_2,g_cls_3,g_cls_4,w_cls_1,w_cls_2,w_cls_3,w_cls_4,f_cls_1,f_cls_2,f_cls_3,f_cls_4,b_cls_1,b_cls_2,b_cls_3,plus_rtg
55,"Carmelo Anthony, Russell Westbrook, Avery Bradley, Anthony Davis, Malik Monk",LAL,68,14,99.4,86.8,12.5,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
56,"Al Horford, Jaylen Brown, Jayson Tatum, Derrick White, Grant Williams",BOS,67,8,133.3,119.4,13.9,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1
57,"Harrison Barnes, Richaun Holmes, Buddy Hield, De'Aaron Fox, Tyrese Haliburton",SAC,67,17,115.7,123.1,-7.4,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
58,"Bradley Beal, Raul Neto, Montrezl Harrell, Kyle Kuzma, Deni Avdija",WAS,66,17,101.4,102.1,-0.7,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0
59,"Dennis Schroder, Marcus Smart, Jaylen Brown, Jayson Tatum, Robert Williams III",BOS,66,11,105.6,99.3,6.3,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,1
60,"Al Horford, Dennis Schroder, Jaylen Brown, Jayson Tatum, Robert Williams III",BOS,64,8,121.1,104.9,16.3,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,1
61,"Cory Joseph, Marvin Bagley III, Saddiq Bey, Isaiah Stewart, Cade Cunningham",DET,64,7,114.4,117.3,-2.9,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
62,"Kyle Lowry, P.J. Tucker, Bam Adebayo, Duncan Robinson, Tyler Herro",MIA,62,7,110.1,99.2,10.9,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,1
63,"LeBron James, Carmelo Anthony, Russell Westbrook, Malik Monk, Austin Reaves",LAL,62,14,108.3,112.8,-4.4,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
64,"Al Horford, Marcus Smart, Jaylen Brown, Jayson Tatum, Grant Williams",BOS,61,15,106.5,120.1,-13.7,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0
65,"George Hill, Khris Middleton, Giannis Antetokounmpo, Bobby Portis, Grayson Allen",MIL,59,15,113.8,94.4,19.4,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1
66,"Montrezl Harrell, Kelly Oubre Jr., Terry Rozier, Miles Bridges, Cody Martin",CHA,59,17,112.0,115.7,-3.7,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
67,"George Hill, Khris Middleton, Giannis Antetokounmpo, Pat Connaughton, Grayson Allen",MIL,58,11,104.7,118.1,-13.4,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0
68,"Danny Green, Tobias Harris, Joel Embiid, Matisse Thybulle, Tyrese Maxey",PHI,57,11,98.3,110.0,-11.7,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
69,"Alec Burks, Evan Fournier, Mitchell Robinson, RJ Barrett, Obi Toppin",NYK,56,5,109.3,110.3,-1.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
70,"Jrue Holiday, Khris Middleton, Bobby Portis, Pat Connaughton, Grayson Allen",MIL,56,14,103.3,106.9,-3.6,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0
71,"Reggie Bullock, Tim Hardaway Jr., Dwight Powell, Dorian Finney-Smith, Luka Doncic",DAL,56,15,77.0,105.1,-28.1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0
72,"Jrue Holiday, Khris Middleton, Giannis Antetokounmpo, Bobby Portis, Pat Connaughton",MIL,55,14,119.5,105.0,14.6,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,1
73,"Alec Burks, Julius Randle, Mitchell Robinson, RJ Barrett, Immanuel Quickley",NYK,53,11,95.4,103.7,-8.3,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0
74,"Al Horford, Dennis Schroder, Josh Richardson, Jayson Tatum, Grant Williams",BOS,53,15,101.0,100.9,0.0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1
75,"Carmelo Anthony, Russell Westbrook, Avery Bradley, Anthony Davis, Talen Horton-Tucker",LAL,53,7,111.2,100.0,11.2,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
76,"Jrue Holiday, Khris Middleton, Giannis Antetokounmpo, Pat Connaughton, Grayson Allen",MIL,53,18,117.5,106.9,10.6,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1
77,"Kyle Lowry, P.J. Tucker, Jimmy Butler, Bam Adebayo, Max Strus",MIA,53,8,131.5,121.7,9.8,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1
78,"James Harden, Tobias Harris, Joel Embiid, Georges Niang, Tyrese Maxey",PHI,52,14,111.8,111.5,0.3,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1
79,"Kyle Lowry, P.J. Tucker, Jimmy Butler, Bam Adebayo, Tyler Herro",MIA,51,14,93.9,101.8,-7.9,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0
80,"Stephen Curry, Draymond Green, Otto Porter Jr., Andrew Wiggins, Jordan Poole",GSW,51,13,105.2,90.8,14.4,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,1
81,"Jrue Holiday, Giannis Antetokounmpo, Bobby Portis, Pat Connaughton, Grayson Allen",MIL,50,18,103.4,111.4,-8.0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0
82,"Kentavious Caldwell-Pope, Raul Neto, Kyle Kuzma, Daniel Gafford, Deni Avdija",WAS,50,14,88.0,114.5,-26.6,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0
83,"Tim Hardaway Jr., Kristaps Porzingis, Dorian Finney-Smith, Jalen Brunson, Luka Doncic",DAL,50,14,92.5,109.6,-17.1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
84,"Tobias Harris, Seth Curry, Joel Embiid, Furkan Korkmaz, Tyrese Maxey",PHI,50,13,133.7,116.8,16.8,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1
85,"Bam Adebayo, Cody Martin, Gabe Vincent, Max Strus, Tyler Herro",MIA,49,13,110.3,92.9,17.4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
86,"Justin Holiday, Myles Turner, Domantas Sabonis, Caris LeVert, Chris Duarte",IND,49,7,118.9,110.4,8.5,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
87,"LeBron James, Carmelo Anthony, Malik Monk, Talen Horton-Tucker, Austin Reaves",LAL,49,14,99.1,120.0,-20.9,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
88,"Pascal Siakam, Chris Boucher, Gary Trent Jr., Precious Achiuwa, Scottie Barnes",TOR,49,12,115.5,90.5,25.1,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,1
89,"Terrence Ross, Gary Harris, Wendell Carter Jr., Chuma Okeke, Cole Anthony",ORL,49,19,99.1,93.7,5.4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1
90,"Alec Burks, Evan Fournier, Julius Randle, Mitchell Robinson, Immanuel Quickley",NYK,48,13,104.1,93.6,10.5,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,1
91,"Bradley Beal, Kentavious Caldwell-Pope, Raul Neto, Montrezl Harrell, Kyle Kuzma",WAS,48,21,97.0,106.7,-9.6,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0
92,"Harrison Barnes, Richaun Holmes, De'Aaron Fox, Marvin Bagley III, Tyrese Haliburton",SAC,48,4,114.4,130.3,-15.9,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
93,"Patrick Beverley, Malik Beasley, Jarred Vanderbilt, Naz Reid, Anthony Edwards",MIN,48,9,107.3,103.1,4.2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
94,"Pascal Siakam, Fred VanVleet, OG Anunoby, Chris Boucher, Precious Achiuwa",TOR,48,10,110.8,109.1,1.7,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1
95,"Pascal Siakam, Fred VanVleet, OG Anunoby, Gary Trent Jr., Precious Achiuwa",TOR,48,11,109.5,98.2,11.4,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1
96,"Tim Hardaway Jr., Dwight Powell, Kristaps Porzingis, Dorian Finney-Smith, Jalen Brunson",DAL,48,5,104.2,105.1,-0.9,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0
97,"Dennis Schroder, Marcus Smart, Jayson Tatum, Robert Williams III, Grant Williams",BOS,47,13,107.8,111.2,-3.4,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
98,"Spencer Dinwiddie, Dwight Powell, Dorian Finney-Smith, Jalen Brunson, Luka Doncic",DAL,47,7,109.2,120.4,-11.2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0
99,"Tobias Harris, Seth Curry, Joel Embiid, Furkan Korkmaz, Matisse Thybulle",PHI,47,10,111.2,108.1,3.1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1
100,"Al Horford, Dennis Schroder, Jaylen Brown, Jayson Tatum, Grant Williams",BOS,46,5,107.2,99.0,8.2,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,1
101,"Patrick Beverley, D'Angelo Russell, Karl-Anthony Towns, Malik Beasley, Jarred Vanderbilt",MIN,46,10,103.0,106.1,-3.2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
102,"Reggie Bullock, Dwight Powell, Kristaps Porzingis, Dorian Finney-Smith, Luka Doncic",DAL,46,5,120.2,88.3,31.9,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1
103,"Dennis Schroder, Josh Richardson, Jayson Tatum, Robert Williams III, Grant Williams",BOS,45,14,103.4,119.1,-15.7,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
104,"Marcus Smart, Josh Richardson, Jaylen Brown, Jayson Tatum, Robert Williams III",BOS,45,9,125.0,98.9,26.1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1
105,"Pascal Siakam, Fred VanVleet, OG Anunoby, Precious Achiuwa, Scottie Barnes",TOR,45,6,96.7,92.0,4.7,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,1
106,"Reggie Bullock, Spencer Dinwiddie, Dorian Finney-Smith, Maxi Kleber, Luka Doncic",DAL,45,9,106.7,116.2,-9.5,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0
107,"Reggie Bullock, Spencer Dinwiddie, Dwight Powell, Dorian Finney-Smith, Jalen Brunson",DAL,45,7,114.9,117.2,-2.3,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0
108,"Justin Holiday, Domantas Sabonis, Caris LeVert, Torrey Craig, Chris Duarte",IND,44,6,101.1,126.1,-25.0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
109,"Pascal Siakam, Fred VanVleet, Chris Boucher, Gary Trent Jr., Precious Achiuwa",TOR,44,18,117.4,94.7,22.7,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1
110,"George Hill, Jrue Holiday, Giannis Antetokounmpo, Bobby Portis, Grayson Allen",MIL,43,11,107.4,99.0,8.5,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
111,"LaMarcus Aldridge, Kevin Durant, James Harden, Patty Mills, Bruce Brown",BKN,43,11,112.6,111.3,1.3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1
112,"Marcus Smart, Jaylen Brown, Derrick White, Robert Williams III, Grant Williams",BOS,43,11,108.7,124.5,-15.8,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
113,"Stephen Curry, Otto Porter Jr., Andrew Wiggins, Kevon Looney, Gary Payton II",GSW,43,7,108.7,94.6,14.1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
114,"Tobias Harris, Seth Curry, Joel Embiid, Georges Niang, Tyrese Maxey",PHI,43,12,114.0,93.7,20.3,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
115,"George Hill, Jrue Holiday, Giannis Antetokounmpo, Pat Connaughton, Grayson Allen",MIL,42,14,141.3,68.9,72.4,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1
116,"LeBron James, Russell Westbrook, Avery Bradley, Anthony Davis, Talen Horton-Tucker",LAL,42,5,109.2,107.9,1.3,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
117,"Reggie Bullock, Dwight Powell, Kristaps Porzingis, Dorian Finney-Smith, Jalen Brunson",DAL,42,4,114.8,118.8,-3.9,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0
118,"Harrison Barnes, Richaun Holmes, Buddy Hield, De'Aaron Fox, Davion Mitchell",SAC,41,14,102.2,94.5,7.7,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,1
119,"Kyle Lowry, P.J. Tucker, Bam Adebayo, Duncan Robinson, Gabe Vincent",MIA,41,5,119.3,110.1,9.2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1
120,"P.J. Tucker, Jimmy Butler, Bam Adebayo, Gabe Vincent, Tyler Herro",MIA,41,9,108.3,113.6,-5.2,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
121,"Reggie Bullock, Dwight Powell, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson",DAL,41,9,106.1,89.3,16.8,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1
122,"Terrence Ross, Wendell Carter Jr., Chuma Okeke, Cole Anthony, Franz Wagner",ORL,41,9,94.0,101.2,-7.1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
123,"Bradley Beal, Kentavious Caldwell-Pope, Kyle Kuzma, Daniel Gafford, Deni Avdija",WAS,40,5,109.9,109.7,0.2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1
124,"Danilo Gallinari, Bojan Bogdanovic, John Collins, Kevin Huerter, Trae Young",ATL,40,15,105.7,127.4,-21.7,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0
125,"Draymond Green, Otto Porter Jr., Andrew Wiggins, Gary Payton II, Jordan Poole",GSW,40,10,119.5,83.9,35.6,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1
126,"Marcus Smart, Josh Richardson, Jaylen Brown, Robert Williams III, Grant Williams",BOS,40,13,101.1,100.0,1.1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1
127,"Dennis Schroder, Marcus Smart, Josh Richardson, Jayson Tatum, Robert Williams III",BOS,39,7,129.3,83.8,45.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1
128,"Evan Fournier, Julius Randle, Mitchell Robinson, RJ Barrett, Immanuel Quickley",NYK,39,16,118.5,117.7,0.8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1
129,"Kelly Oubre Jr., Terry Rozier, Miles Bridges, Cody Martin, P.J. Washington",CHA,39,14,120.0,106.3,13.8,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1
130,"Tobias Harris, Joel Embiid, Georges Niang, Matisse Thybulle, Tyrese Maxey",PHI,39,11,101.3,122.5,-21.2,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0
131,"Al Horford, Dennis Schroder, Marcus Smart, Jaylen Brown, Jayson Tatum",BOS,38,8,81.0,101.2,-20.3,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0
132,"Danilo Gallinari, John Collins, Kevin Huerter, Trae Young, Cam Reddish",ATL,38,13,125.0,106.0,19.0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,1
133,"Danilo Gallinari, John Collins, Kevin Huerter, Trae Young, De'Andre Hunter",ATL,38,13,117.6,121.4,-3.8,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0
134,"Stephen Curry, Andrew Wiggins, Kevon Looney, Gary Payton II, Jordan Poole",GSW,38,12,125.3,109.5,15.8,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1
135,"Spencer Dinwiddie, Dorian Finney-Smith, Maxi Kleber, Jalen Brunson, Luka Doncic",DAL,38,8,115.8,88.2,27.6,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1
136,"Shai Gilgeous-Alexander, Darius Bazley, Luguentz Dort, Jeremiah Robinson-Earl, Tre Mann",OKC,38,8,88.9,116.7,-27.8,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0
